Timestamp(ms),Raw_ECG,Threshold
1,30855,48000
12,30999,48000
22,30919,48000
32,31159,48000
42,31463,48000
52,31111,48000
62,32007,48000
72,32519,48000
82,33480,48000
92,34888,48000
102,34568,48000
112,33608,48000
122,32663,48000
132,30887,48000
142,30775,48000
152,31207,48000
162,30695,48000
172,31143,48000
182,31303,48000
192,31159,48000
202,31175,48000
212,31799,48000
222,37449,48000
232,50716,48000
242,46811,48000
252,15043,48000
262,27830,48000
272,34600,48000
282,32872,48000
292,33224,48000
302,33816,48000
341,34472,48000
352,34760,48000
362,35352,48000
372,35880,48000
382,36360,48000
392,37465,48000
402,37849,48000
412,39097,48000
422,40585,48000
432,41258,48000
442,42186,48000
452,43162,48000
462,42714,48000
472,41194,48000
482,37689,48000
492,33432,48000
502,31351,48000
512,29495,48000
522,29095,48000
532,29159,48000
542,28630,48000
552,28807,48000
562,28614,48000
572,29143,48000
582,28871,48000
592,29031,48000
602,29223,48000
612,29671,48000
622,30135,48000
632,30775,48000
642,30791,48000
652,30951,48000
665,30439,48000
676,31239,48000
686,30999,48000
696,31303,48000
706,31623,48000
716,31799,48000
726,30983,48000
736,31655,48000
746,31287,48000
756,31703,48000
766,31319,48000
776,31927,48000
786,31719,48000
796,31207,48000
806,31767,48000
816,32856,48000
826,31655,48000
836,31687,48000
846,32503,48000
856,31943,48000
866,32343,48000
876,32711,48000
886,33128,48000
896,34200,48000
906,34856,48000
916,35480,48000
926,35144,48000
936,33160,48000
946,33352,48000
956,32215,48000
966,32519,48000
976,32439,48000
986,32391,48000
996,32295,48000
1006,32471,48000
1016,32840,48000
1026,32471,48000
1036,34584,48000
1046,47323,48000
1056,55405,48000
1066,23765,48000
1076,22949,48000
1086,35032,48000
1096,34312,48000
1106,34376,48000
1116,34344,48000
1126,34904,48000
1136,35512,48000
1146,35624,48000
1156,36056,48000
1166,36312,48000
1176,36664,48000
1186,37097,48000
1196,37945,48000
1206,38409,48000
1216,39481,48000
1226,40425,48000
1236,41706,48000
1246,42650,48000
1256,43514,48000
1266,44298,48000
1276,44730,48000
1289,43402,48000
1300,40457,48000
1310,36584,48000
1320,33512,48000
1330,31495,48000
1340,31383,48000
1350,30551,48000
1360,30535,48000
1370,30007,48000
1380,30391,48000
1390,30215,48000
1400,30855,48000
1410,30983,48000
1420,31271,48000
1430,31239,48000
1440,31783,48000
1450,31767,48000
1460,31783,48000
1470,31847,48000
1480,32135,48000
1490,32279,48000
1500,32519,48000
1510,32375,48000
1520,32808,48000
1530,32471,48000
1540,32711,48000
1550,32663,48000
1560,32519,48000
1570,32391,48000
1580,32936,48000
1590,33448,48000
1600,34008,48000
1610,35352,48000
1620,35640,48000
1630,35016,48000
1640,34152,48000
1650,32391,48000
1660,31783,48000
1670,32199,48000
1680,31879,48000
1690,31831,48000
1700,32215,48000
1710,32151,48000
1720,32487,48000
1730,31719,48000
1740,33896,48000
1750,47067,48000
1760,53965,48000
1770,20436,48000
1780,22165,48000
1790,33096,48000
1800,34216,48000
1810,33928,48000
1820,33912,48000
1830,33864,48000
1840,34264,48000
1850,34184,48000
1860,34888,48000
1870,35048,48000
1880,35432,48000
1890,36873,48000
1903,35544,48000
1914,38313,48000
1924,38553,48000
1934,38041,48000
1944,39529,48000
1954,41482,48000
1964,41770,48000
1974,42218,48000
1984,42426,48000
1994,40986,48000
2004,39129,48000
2014,31687,48000
2024,30087,48000
2034,28198,48000
2044,28182,48000
2054,27798,48000
2064,27558,48000
2074,28326,48000
2084,27878,48000
2094,27014,48000
2104,29095,48000
2114,27926,48000
2124,27606,48000
2134,28646,48000
2144,28983,48000
2154,29063,48000
2164,29271,48000
2174,29319,48000
2184,29415,48000
2194,30055,48000
2204,29879,48000
2214,29671,48000
2224,29751,48000
2234,29767,48000
2244,30007,48000
2254,30567,48000
2264,31223,48000
2274,32023,48000
2284,32727,48000
2294,32295,48000
2304,31559,48000
2314,29943,48000
2324,28951,48000
2334,29463,48000
2344,29527,48000
2354,29207,48000
2364,29143,48000
2374,29783,48000
2384,29975,48000
2394,29143,48000
2404,32551,48000
2414,44394,48000
2424,51820,48000
2434,22725,48000
2444,17700,48000
2454,31943,48000
2464,31271,48000
2474,31847,48000
2484,32936,48000
2494,31623,48000
2533,33288,48000
2544,34408,48000
2554,36616,48000
2564,34264,48000
2574,35016,48000
2584,36921,48000
2594,37945,48000
2604,39129,48000
2614,40409,48000
2624,41290,48000
2634,41530,48000
2644,42650,48000
2654,41018,48000
2664,38569,48000
2674,33944,48000
2684,30935,48000
2694,29143,48000
2704,28278,48000
2714,27990,48000
2724,28134,48000
2734,27446,48000
2744,27430,48000
2754,28102,48000
2764,28614,48000
2774,27974,48000
2784,28582,48000
2794,28679,48000
2804,28983,48000
2814,29767,48000
2824,29527,48000
2834,29911,48000
2844,29719,48000
2854,30055,48000
2864,30359,48000
2874,30679,48000
2884,30439,48000
2894,30887,48000
2904,30631,48000
2914,30519,48000
2924,31015,48000
2934,31271,48000
2944,32295,48000
2954,33352,48000
2964,33512,48000
2974,34360,48000
2984,32391,48000
2994,31079,48000
3004,30615,48000
3014,30567,48000
3024,30695,48000
3034,30887,48000
3044,31239,48000
3054,31191,48000
3064,30951,48000
3074,30807,48000
3084,32327,48000
3094,41834,48000
3104,53997,48000
3114,33576,48000
3124,16179,48000
3137,33608,48000
3148,32856,48000
3158,33944,48000
3168,33160,48000
3178,33944,48000
3188,33784,48000
3198,34536,48000
3208,34408,48000
3218,35656,48000
3228,34504,48000
3238,35768,48000
3248,36616,48000
3258,37721,48000
3268,38121,48000
3278,39097,48000
3288,39353,48000
3298,42042,48000
3308,42330,48000
3318,42458,48000
3328,42490,48000
3338,42202,48000
3348,36696,48000
3358,34920,48000
3368,31559,48000
3378,29543,48000
3388,29143,48000
3398,29031,48000
3408,28566,48000
3418,28646,48000
3428,28999,48000
3438,29367,48000
3448,28630,48000
3458,29463,48000
3468,29767,48000
3478,30279,48000
3488,29671,48000
3498,30295,48000
3508,30727,48000
3518,30743,48000
3528,30519,48000
3538,31319,48000
3548,31047,48000
3558,31815,48000
3568,31751,48000
3578,31767,48000
3588,31447,48000
3598,31639,48000
3608,31303,48000
3618,31367,48000
3628,31111,48000
3638,31463,48000
3648,31591,48000
3658,32039,48000
3668,31559,48000
3678,32119,48000
3688,32663,48000
3698,33272,48000
3708,34584,48000
3718,34536,48000
3728,34248,48000
3741,32679,48000
3752,31319,48000
3763,31575,48000
3773,31303,48000
3783,31383,48000
3793,31159,48000
3803,31895,48000
3813,31303,48000
3823,31367,48000
3833,32439,48000
3843,41578,48000
3853,53965,48000
3863,38153,48000
3873,16323,48000
3883,31575,48000
3893,33864,48000
3903,33096,48000
3913,33736,48000
3923,33432,48000
3933,33720,48000
3943,34296,48000
3953,34248,48000
3963,35240,48000
3973,34984,48000
3983,35240,48000
3993,35688,48000
4003,37001,48000
4013,36969,48000
4023,38361,48000
4033,39369,48000
4043,40153,48000
4053,41002,48000
4063,41898,48000
4073,42410,48000
4083,42266,48000
4093,40953,48000
4103,36696,48000
4113,33112,48000
4123,30727,48000
4133,29191,48000
4143,28743,48000
4153,28438,48000
4163,29319,48000
4173,27750,48000
4183,28662,48000
4193,28518,48000
4203,28662,48000
4213,29207,48000
4223,29703,48000
4233,29719,48000
4243,29463,48000
4253,29847,48000
4263,30439,48000
4273,30407,48000
4283,30407,48000
4293,30535,48000
4303,30855,48000
4313,31399,48000
4323,30775,48000
4333,30999,48000
4346,31239,48000
4357,30983,48000
4367,31431,48000
4377,30695,48000
4387,31239,48000
4397,31383,48000
4407,31239,48000
4417,31575,48000
4427,31319,48000
4437,31655,48000
4447,31575,48000
4457,31847,48000
4467,31655,48000
4477,32007,48000
4487,32615,48000
4497,33336,48000
4507,33688,48000
4517,35400,48000
4527,34344,48000
4537,33816,48000
4547,33080,48000
4557,32359,48000
4567,31959,48000
4577,31959,48000
4587,31655,48000
4597,32103,48000
4607,31511,48000
4617,32087,48000
4627,31767,48000
4637,32615,48000
4647,40553,48000
4657,53277,48000
4667,40009,48000
4677,16564,48000
4687,30839,48000
4697,34344,48000
4707,33640,48000
4717,34120,48000
4727,33832,48000
4737,34136,48000
4747,34616,48000
4757,34952,48000
4767,35272,48000
4777,34984,48000
4787,35752,48000
4797,36152,48000
4807,36905,48000
4817,37561,48000
4827,38825,48000
4837,39385,48000
4847,41034,48000
4857,41594,48000
4867,42666,48000
4877,43210,48000
4887,42554,48000
4897,41194,48000
4907,38457,48000
4917,34104,48000
4927,31879,48000
4937,29719,48000
4947,28839,48000
4987,28630,48000
4998,28743,48000
5008,28711,48000
5018,29959,48000
5028,29335,48000
5038,29527,48000
5048,30167,48000
5058,30967,48000
5068,29879,48000
5078,30647,48000
5088,30871,48000
5098,30919,48000
5108,30903,48000
5118,31271,48000
5128,31079,48000
5138,31655,48000
5148,31255,48000
5158,31079,48000
5168,31271,48000
5178,31159,48000
5188,31367,48000
5198,31975,48000
5208,31671,48000
5218,33080,48000
5228,33576,48000
5238,34392,48000
5248,33992,48000
5258,33048,48000
5268,31639,48000
5278,31799,48000
5288,31687,48000
5298,30871,48000
5308,31159,48000
5318,31255,48000
5328,31271,48000
5338,31911,48000
5348,31287,48000
5358,33336,48000
5368,44138,48000
5378,54829,48000
5388,25174,48000
5398,19124,48000
5408,32471,48000
5418,34392,48000
5428,33560,48000
5438,33864,48000
5448,34536,48000
5458,34216,48000
5468,34776,48000
5478,35736,48000
5488,34920,48000
5498,35752,48000
5508,36168,48000
5518,36456,48000
5528,37209,48000
5538,38329,48000
5548,39577,48000
5558,40361,48000
5568,41194,48000
5581,42714,48000
5592,42938,48000
5602,43402,48000
5612,41866,48000
5622,39049,48000
5632,34552,48000
5642,31799,48000
5652,29975,48000
5662,29319,48000
5672,28743,48000
5682,29287,48000
5692,29255,48000
5702,28711,48000
5712,28662,48000
5722,29031,48000
5732,29223,48000
5742,29639,48000
5752,29735,48000
5762,30247,48000
5772,30247,48000
5782,30711,48000
5792,30519,48000
5802,30855,48000
5812,30407,48000
5822,30727,48000
5832,30647,48000
5842,30951,48000
5852,30999,48000
5862,31159,48000
5872,30887,48000
5882,31175,48000
5892,30983,48000
5902,31191,48000
5912,31047,48000
5922,32007,48000
5932,32407,48000
5942,33080,48000
5952,34056,48000
5962,33752,48000
5972,32663,48000
5982,33000,48000
5992,30807,48000
6002,30759,48000
6012,30759,48000
6022,30903,48000
6032,31175,48000
6042,31559,48000
6052,31335,48000
6062,31495,48000
6072,31543,48000
6082,40281,48000
6092,53277,48000
6102,38041,48000
6112,14659,48000
6122,30551,48000
6132,33352,48000
6142,33592,48000
6152,33000,48000
6162,33592,48000
6172,34024,48000
6182,34072,48000
6195,34344,48000
6206,35224,48000
6216,35240,48000
6226,35752,48000
6236,36232,48000
6246,37545,48000
6256,37561,48000
6266,38825,48000
6276,40361,48000
6286,41034,48000
6296,41770,48000
6306,42474,48000
6316,42810,48000
6326,42186,48000
6336,38985,48000
6346,35560,48000
6356,32039,48000
6366,30663,48000
6376,29159,48000
6386,28246,48000
6396,28246,48000
6406,28038,48000
6416,28102,48000
6426,28486,48000
6436,28406,48000
6446,29095,48000
6456,29031,48000
6466,29751,48000
6476,29143,48000
6486,30343,48000
6496,30055,48000
6506,30407,48000
6516,30423,48000
6526,31015,48000
6536,30359,48000
6546,31287,48000
6556,30743,48000
6566,31159,48000
6576,30599,48000
6586,31303,48000
6596,31031,48000
6606,30759,48000
6616,31159,48000
6626,31319,48000
6636,31287,48000
6646,32487,48000
6656,33336,48000
6666,33464,48000
6676,34584,48000
6686,34136,48000
6696,32727,48000
6706,32471,48000
6716,30871,48000
6726,31559,48000
6736,31383,48000
6746,31239,48000
6756,31143,48000
6766,31719,48000
6776,31575,48000
6786,31255,48000
6799,35128,48000
6810,49292,48000
6820,52764,48000
6830,17668,48000
6840,24405,48000
6850,33960,48000
6860,33256,48000
6870,33096,48000
6880,33208,48000
6890,33560,48000
6900,33640,48000
6910,34520,48000
6920,34600,48000
6930,34712,48000
6940,35400,48000
6950,35928,48000
6960,36296,48000
6970,36552,48000
6980,38377,48000
6990,38889,48000
7000,40153,48000
7010,41290,48000
7020,41658,48000
7030,42730,48000
7040,43290,48000
7050,41530,48000
7060,38697,48000
7070,34504,48000
7080,32119,48000
7090,29863,48000
7100,29303,48000
7110,28679,48000
7120,28006,48000
7130,28326,48000
7140,28791,48000
7150,28598,48000
7160,28518,48000
7170,28839,48000
7180,28903,48000
7190,29271,48000
7200,29847,48000
7210,29287,48000
7220,30215,48000
7230,30167,48000
7240,30007,48000
7250,30647,48000
7260,31303,48000
7270,30887,48000
7280,30999,48000
7290,31223,48000
7300,30871,48000
7310,31271,48000
7320,31159,48000
7330,30791,48000
7340,31111,48000
7350,30983,48000
7360,31623,48000
7370,31175,48000
7380,31399,48000
7390,31367,48000
7430,33976,48000
7441,33672,48000
7451,32743,48000
7461,31895,48000
7471,31367,48000
7481,31415,48000
7491,30807,48000
7501,31719,48000
7511,31719,48000
7521,31495,48000
7531,31351,48000
7541,31495,48000
7551,36424,48000
7561,49131,48000
7571,51436,48000
7581,18324,48000
7591,25398,48000
7601,34408,48000
7611,33048,48000
7621,33064,48000
7631,33000,48000
7641,34216,48000
7651,33944,48000
7661,34200,48000
7671,34552,48000
7681,34712,48000
7691,35400,48000
7701,35272,48000
7711,36344,48000
7721,37337,48000
7731,38025,48000
7741,38201,48000
7751,39769,48000
7761,40953,48000
7771,41498,48000
7781,42042,48000
7791,42474,48000
7801,42186,48000
7811,38489,48000
7821,34520,48000
7831,31511,48000
7841,29767,48000
7851,28550,48000
7861,28054,48000
7871,28070,48000
7881,28486,48000
7891,28454,48000
7901,27878,48000
7911,28326,48000
7921,28390,48000
7931,28903,48000
7941,28855,48000
7951,29383,48000
7961,29351,48000
7971,29463,48000
7981,29927,48000
7991,29671,48000
8001,29975,48000
8011,30359,48000
8021,30807,48000
8034,29991,48000
8045,30407,48000
8055,30663,48000
8065,30391,48000
8075,30631,48000
8085,30999,48000
8095,30375,48000
8105,30535,48000
8115,30487,48000
8125,31431,48000
8135,31767,48000
8145,32167,48000
8155,32952,48000
8165,34056,48000
8175,32535,48000
8185,32023,48000
8195,30903,48000
8205,30231,48000
8215,30791,48000
8225,30023,48000
8235,30679,48000
8245,30807,48000
8255,30551,48000
8265,31367,48000
8275,30631,48000
8285,33464,48000
8295,45595,48000
8305,52028,48000
8315,18148,48000
8325,21701,48000
8335,32263,48000
8345,33448,48000
8355,32695,48000
8365,32920,48000
8375,33704,48000
8385,33800,48000
8395,33592,48000
8405,34344,48000
8415,34776,48000
8425,35112,48000
8435,35768,48000
8445,35688,48000
8455,36648,48000
8465,37657,48000
8475,38569,48000
8485,39705,48000
8495,40953,48000
8505,41162,48000
8515,41546,48000
8525,42314,48000
8535,41322,48000
8545,38809,48000
8555,35144,48000
8565,32359,48000
8575,29735,48000
8585,28582,48000
8595,27958,48000
8605,27990,48000
8615,27910,48000
8625,28038,48000
8638,27846,48000
8649,28662,48000
8659,28118,48000
8669,28630,48000
8679,28855,48000
8689,29511,48000
8699,29623,48000
8709,29863,48000
8719,30471,48000
8729,29719,48000
8739,30231,48000
8749,30231,48000
8759,30439,48000
8769,30375,48000
8779,30647,48000
8789,30807,48000
8799,30471,48000
8809,30231,48000
8819,30295,48000
8829,31239,48000
8839,30999,48000
8849,32231,48000
8859,32359,48000
8869,33384,48000
8879,33112,48000
8889,32391,48000
8899,31543,48000
8909,30135,48000
8919,30871,48000
8929,30935,48000
8939,30823,48000
8949,30647,48000
8959,31255,48000
8969,31111,48000
8979,31207,48000
8989,31671,48000
8999,41914,48000
9009,53837,48000
9019,33176,48000
9029,16275,48000
9039,31015,48000
9049,33352,48000
9059,33352,48000
9069,33192,48000
9079,33752,48000
9089,33976,48000
9099,34616,48000
9109,34664,48000
9119,34760,48000
9129,35336,48000
9139,36040,48000
9149,36040,48000
9159,36824,48000
9169,38041,48000
9179,38297,48000
9189,39481,48000
9199,40553,48000
9209,41754,48000
9219,42474,48000
9229,42586,48000
9239,42858,48000
9252,39273,48000
9263,35464,48000
9274,31623,48000
9284,29767,48000
9294,29031,48000
9304,28662,48000
9314,27686,48000
9324,28502,48000
9334,28246,48000
9344,28390,48000
9354,28839,48000
9364,28695,48000
9374,28951,48000
9384,29415,48000
9394,29943,48000
9404,29895,48000
9414,29927,48000
9424,30487,48000
9434,30743,48000
9444,31031,48000
9454,31543,48000
9464,30871,48000
9474,31111,48000
9484,31255,48000
9494,31047,48000
9504,31383,48000
9514,30791,48000
9524,30983,48000
9534,31335,48000
9544,31591,48000
9554,31063,48000
9564,32007,48000
9574,32119,48000
9584,33224,48000
9594,33176,48000
9604,34248,48000
9614,33736,48000
9624,33288,48000
9634,31879,48000
9644,31143,48000
9654,31703,48000
9664,31511,48000
9674,31239,48000
9684,31591,48000
9694,31447,48000
9704,31799,48000
9714,31655,48000
9724,33448,48000
9734,43898,48000
9744,54797,48000
9754,30503,48000
9764,17748,48000
9774,32103,48000
9784,33832,48000
9794,33288,48000
9804,33672,48000
9814,33784,48000
9824,33688,48000
9834,34392,48000
9844,34632,48000
9888,36552,48000
9899,37385,48000
9909,37689,48000
9919,38841,48000
9929,40457,48000
9939,40970,48000
9949,42394,48000
9959,42074,48000
9969,43514,48000
9979,41930,48000
9989,38041,48000
9999,35080,48000
10009,31415,48000
10019,29959,48000
10029,29287,48000
10039,28294,48000
10049,28999,48000
10059,28310,48000
10069,28518,48000
10079,28759,48000
10089,28855,48000
10099,28967,48000
10109,29143,48000
10119,29975,48000
10129,29703,48000
10139,29495,48000
10149,30135,48000
10159,30663,48000
10169,30407,48000
10179,30391,48000
10189,31351,48000
10199,30967,48000
10209,30935,48000
10219,30775,48000
10229,30775,48000
10239,31271,48000
10249,31015,48000
10259,31079,48000
10269,30871,48000
10279,31383,48000
10289,31207,48000
